Actual,Predicted
267.4,266.03950939111735
490.0,488.06620436159466
182.2,182.91696459406225
197.0,200.40563749503025
221.9,222.01370538702014
359.0,357.0090149624088
455.0,454.4632421066802
203.0,195.38454101786937
620.0,605.6158506305413
410.0,411.45852180934946
423.0,422.4227377468965
409.0,411.20278094895644
234.9,232.92417525561723
255.0,254.5038655834811
229.0,227.50235928239397
439.0,442.8485899436272
356.0,355.0216835313039
376.0,375.6646358992277
232.5,234.82895210465145
403.0,406.5966367261088
254.0,258.90033192924426
370.0,372.01292508466565
347.0,346.23456115007144
367.0,367.0456465886101
419.0,421.612152635271
620.0,619.9041491132275
620.0,620.585824215534
325.0,323.0410181216545
261.0,258.9037441602453
377.0,370.824780515795
426.0,427.0230193546539
235.5,237.8702605060891
362.0,360.8431254407749
226.0,227.39095721048233
232.0,231.2411025065944
415.0,416.63085429659697
319.0,318.62679031539085
480.0,481.6763926473095
221.0,220.61575561948254
180.0,186.02785974758876
192.5,193.4036362968751
446.0,447.19974688168236
253.0,252.62786154703653
472.0,479.45553985408446
383.0,384.6522751139766
578.0,573.5624740167785
366.0,367.446004156296
465.0,469.83078227437034
346.0,347.4454403151874
233.0,232.16769579680383
229.1,229.09393235869015
191.0,192.57390650857573
417.0,416.03822064033915
212.0,211.09747323489438
358.0,357.8303525695297
220.7,220.79689639683937
627.0,629.8993911536401
326.5,328.64331624008065
282.8,283.023580746352
344.0,341.8545654833813
349.0,348.6427579339952
417.0,420.20798620640676
667.0,650.1928116900119
257.0,258.31072406829384
234.2,237.77254971761906
460.0,460.2937208373813
264.0,264.3633692637682
340.1,343.2311612899633
492.0,493.6907687594184
559.0,557.8716483059723
477.0,472.5005039469881
463.0,464.0672520361925
269.2,267.2200693183031
599.0,594.8373590803592
207.6,208.84585620601212
576.0,580.0692825771678
212.0,211.13372216688785
434.0,436.9905833117898
543.0,548.0842034809333
334.0,333.42738494907263
325.0,327.62641224360146
468.0,471.2804563326747
425.0,423.1661228693421
337.0,336.80434470341595
460.0,460.65980406097714
364.0,365.45985217185654
273.0,273.5112597174183
377.4,377.85608717702786
435.0,428.1504951211095
538.0,535.4601359390083
196.0,197.85900248838843
250.0,246.98917035016316
304.0,302.2161418789223
428.0,430.0064740030797
245.1,247.19327483896043
325.0,324.63289599719207
349.0,350.8352580364325
227.0,222.23068651031653
307.0,305.64041747425966
180.0,181.47836954086287
293.0,290.8150298800556
234.0,230.72473202569833
226.0,223.81550392040594
400.0,401.21942123697386
548.0,548.4803977513184
209.0,204.27301652826148
250.0,245.2110128904518
220.1,221.09376411636052
545.0,545.6769457207965
325.0,324.8182334514824
223.2,224.63381566156283
357.0,357.44597252852475
248.0,250.08368055074374
235.6,234.92312917447188
198.5,197.44817830730372
183.7,182.39485608976497
247.0,247.03239408526815
263.3,266.77392722267416
285.9,284.0157259353925
223.1,224.39104438138128
260.6,263.41362493496297
423.0,424.20584084201164
415.0,413.46595654833266
309.1,312.0300474420054
260.0,261.0358766434611
355.0,358.8447063186719
236.0,234.5299597032419
361.0,356.286609081684
415.0,416.6525181086926
607.0,608.3312292736308
241.8,241.41117733965822
386.0,383.69767347640624
329.5,328.6224183824435
440.0,438.0853628466495
216.2,217.13620105542407
431.0,428.83367401126657
428.0,430.0037496408121
208.0,206.8814977930115
323.0,325.0394943678825
607.0,602.0863607425865
232.0,229.06972425920873
485.0,484.48911921763136
268.0,267.80779922447414
375.0,378.0369853845907
333.0,332.8239676395155
437.0,433.6170633172348
226.5,227.21601794211355
590.0,587.895962007756
384.0,385.62767135176745
449.0,451.39550558915084
294.6,293.724772782096
463.0,458.4994918655499
274.0,275.0163231031522
408.0,406.63718163825416
254.0,252.82813820735007
421.3,422.67605677375946
448.0,446.9665826807997
243.2,245.38547682924587
209.0,207.2062691040999
426.0,424.4063418440908
320.0,324.84003021898644
282.0,283.6389811175221
464.0,461.4818466561428
349.0,348.2180197647185
280.0,281.8156391285225
478.0,483.0260200759087
307.0,309.81529252465845
485.0,486.70320854064886
309.0,306.8329403042083
228.0,229.01890731483806
479.0,480.9977881483226
220.9,221.00870124226367
338.0,339.43340886022963
223.0,223.86244467066143
605.0,602.0461705762915
440.0,441.41341744805163
436.0,435.4391828818792
479.0,471.3519595787098
367.8,364.02310422716
421.0,422.64974135379504
433.0,434.2489146504654
453.0,448.03293629843563
244.9,244.9708346349245
194.3,194.80220703175564
227.0,227.49837458462653
193.0,194.48381977116122
472.0,474.0699003916612
416.0,415.22566158171605
315.0,312.0479777895977
362.0,362.4096350722163
531.0,531.8894315760597
404.0,402.2501322782206
219.5,221.3397071354345
244.5,246.36501567350822
174.0,173.19199714311816
476.0,476.47842772739693
245.0,246.70538428276112
395.0,396.2265297391572
442.0,441.6369089378187
361.0,358.6401207508201
592.0,598.1106875318973
254.7,255.82745022721338
228.0,230.20056716213242
233.1,234.19703813893915
604.0,615.3388054091953
427.0,427.47189037761177
305.0,306.6240179313615
316.0,317.041556202603
207.0,207.55235357246508
177.0,177.41473075928158
460.0,462.2446055890026
439.0,436.8354481141363
261.6,253.63940802530433
198.0,199.68152124008782
465.0,466.6629135350381
357.0,357.5712538317975
236.0,233.96966866473855
450.0,448.19181242510206
479.0,482.5025154293472
345.0,348.2417018560081
352.0,356.04526823354934
299.9,296.073670143529
272.0,271.75506320189584
